placar_casa,placar_visitante,data,round,stage,ano,equipe_casa,equipe_visitante,Pts_casa,3P_casa,2P_casa,LL_casa,RT_casa,RO_casa,RD_casa,AS_casa,ER_casa,IA%_casa,3PC_casa,3PT_casa,3P%_casa,2PC_casa,2PT_casa,2P%_casa,LLC_casa,LLT_casa,LL%_casa,EN_casa,BR_casa,B/E_casa,TO_casa,FC_casa,T/FC_casa,ET_casa,VI_casa,EF_casa,Pts_visitante,3P_visitante,2P_visitante,LL_visitante,RT_visitante,RO_visitante,RD_visitante,AS_visitante,ER_visitante,IA%_visitante,3PC_visitante,3PT_visitante,3P%_visitante,2PC_visitante,2PT_visitante,2P%_visitante,LLC_visitante,LLT_visitante,LL%_visitante,EN_visitante,BR_visitante,B/E_visitante,TO_visitante,FC_visitante,T/FC_visitante,ET_visitante,VI_visitante,EF_visitante
82,71,2009-05-05,13,2,2008-2009,Sesi Franca,Minas,85.88,24.24,44.56,17.08,32.52,9.36,23.16,16.32,12.64,1.4080000000000001,8.08,22.16,37.81799999999999,22.28,40.64,55.459599999999995,17.08,23.0,73.64399999999999,1.88,8.04,0.6679999999999999,3.0,20.96,0.15080000000000002,12.64,0.0,94.76,85.76,23.16,46.56,16.04,32.12,10.12,22.0,16.56,14.04,1.3156,7.72,21.2,36.5544,23.28,42.0,55.495599999999996,16.04,22.72,70.77799999999999,1.52,7.56,0.6332000000000001,3.64,18.52,0.19519999999999996,14.04,0.0,92.72
76,34,2009-05-06,13,2,2008-2009,Espírito Santo,Assis,80.08,22.44,41.04,16.6,31.08,8.68,22.4,15.36,13.44,1.264,7.48,22.64,34.1704,20.52,36.84,55.63839999999999,16.6,23.48,69.9308,1.44,7.84,0.6396000000000001,2.4,22.48,0.11119999999999998,13.44,0.0,84.96,79.24,21.48,38.8,18.96,30.56,8.72,21.84,13.88,12.2,1.232,7.16,19.96,37.0756,19.4,35.68,54.251999999999995,18.96,26.2,73.3924,1.84,7.2,0.6215999999999999,3.68,21.24,0.18119999999999997,12.2,0.0,86.04
85,81,2009-05-06,13,2,2008-2009,Joinville,Brasília,82.23076923076923,26.307692307692307,39.84615384615385,16.076923076923077,35.07692307692308,9.038461538461538,26.03846153846154,16.076923076923077,14.5,1.2715384615384613,8.76923076923077,25.03846153846154,35.44653846153846,19.923076923076923,37.19230769230769,53.593076923076914,16.076923076923077,22.653846153846153,71.17961538461539,1.9615384615384615,8.76923076923077,0.6684615384615386,3.3076923076923075,21.192307692307693,0.16538461538461538,14.5,0.0,90.84615384615384,85.96153846153847,24.115384615384617,41.53846153846154,20.307692307692307,29.846153846153847,7.846153846153846,22.0,14.73076923076923,14.384615384615385,1.1311538461538462,8.038461538461538,24.0,33.36807692307693,20.76923076923077,37.76923076923077,55.34076923076925,20.307692307692307,27.03846153846154,74.19884615384616,1.8076923076923077,8.461538461538462,0.6257692307692307,3.9615384615384617,22.5,0.19192307692307686,14.384615384615385,0.0,88.88461538461539
69,76,2009-05-06,13,2,2008-2009,Araraquara,Flamengo,81.08,23.04,41.12,16.92,31.44,7.92,23.52,16.76,15.12,1.2012,7.68,22.16,35.0652,20.56,35.68,57.4476,16.92,23.24,71.64039999999999,2.4,9.88,0.6980000000000001,3.96,20.36,0.20800000000000005,15.12,0.0,92.08,89.52,28.32,43.28,17.92,32.16,9.28,22.88,17.2,13.8,1.3287999999999998,9.44,25.52,37.35040000000001,21.64,37.56,57.5404,17.92,23.6,76.48,2.04,7.96,0.5984,2.24,20.76,0.1108,13.8,0.0,97.6
80,72,2009-05-06,13,2,2008-2009,Limeira,Pinheiros,86.4,28.68,39.36,18.36,31.68,8.44,23.24,15.88,14.8,1.1852,9.56,25.52,37.880799999999994,19.68,36.2,54.7488,18.36,24.4,75.25120000000001,2.44,7.56,0.5336,3.48,21.84,0.16359999999999997,14.8,0.0,91.68,88.44,26.4,44.08,17.96,33.36,8.56,24.8,16.68,12.88,1.3803999999999998,8.8,22.64,39.15040000000001,22.04,38.4,57.476800000000004,17.96,23.16,77.70279999999998,3.2,7.52,0.6224000000000001,2.28,19.28,0.12200000000000001,12.88,0.0,100.0
82,79,2009-05-06,13,2,2008-2009,Coop/São José Basketball,Paulistano,81.8,24.96,39.76,17.08,31.36,8.8,22.56,15.24,13.6,1.2076,8.32,24.88,33.588,19.88,36.04,55.105599999999995,17.08,23.8,71.9804,1.52,7.28,0.5636,3.08,21.0,0.1616,13.6,0.0,85.72,82.08,23.76,39.52,18.8,31.48,10.12,21.36,16.92,15.64,1.1667999999999998,7.92,22.32,36.066,19.76,36.48,54.471199999999996,18.8,26.6,71.104,1.36,8.4,0.5720000000000001,3.08,20.68,0.1548,15.64,0.0,87.4
75,95,2009-05-06,13,2,2008-2009,Saldanha,Bauru Basket,83.44,22.08,43.84,17.52,33.12,9.92,23.2,14.88,16.56,1.004,7.36,22.08,33.3864,21.92,37.8,58.038399999999996,17.52,25.72,68.42599999999999,2.84,9.56,0.6028000000000001,2.72,19.92,0.15,16.56,0.0,88.36,83.52,26.16,41.36,16.0,30.24,9.2,21.04,14.68,10.32,1.6844000000000003,8.72,22.72,38.3848,20.68,38.0,54.55120000000001,16.0,21.28,75.4016,1.4,7.28,0.81,2.64,18.36,0.14440000000000003,10.32,0.0,91.44
68,77,2009-05-08,14,2,2008-2009,Espírito Santo,Bauru Basket,79.92307692307692,22.03846153846154,41.23076923076923,16.653846153846153,31.307692307692307,8.576923076923077,22.73076923076923,15.346153846153847,13.307692307692308,1.2730769230769232,7.346153846153846,22.23076923076923,34.13807692307692,20.615384615384617,37.0,55.656153846153835,16.653846153846153,23.615384615384617,69.80538461538461,1.4230769230769231,8.038461538461538,0.6650000000000001,2.3846153846153846,22.26923076923077,0.11153846153846152,13.307692307692308,0.0,85.46153846153847,83.1923076923077,25.73076923076923,41.84615384615385,15.615384615384615,30.0,9.192307692307692,20.807692307692307,14.5,10.461538461538462,1.6469230769230772,8.576923076923077,22.73076923076923,37.74461538461538,20.923076923076923,38.23076923076923,54.81307692307693,15.615384615384615,21.0,74.14999999999999,1.5,7.269230769230769,0.7980769230769231,2.6153846153846154,18.23076923076923,0.14384615384615387,10.461538461538462,0.0,90.26923076923077
78,81,2009-05-08,14,2,2008-2009,Araraquara,Minas,80.61538461538461,22.846153846153847,41.07692307692308,16.692307692307693,31.5,7.884615384615385,23.615384615384617,16.73076923076923,14.884615384615385,1.2234615384615386,7.615384615384615,22.192307692307693,34.72,20.53846153846154,36.15384615384615,56.84076923076923,16.692307692307693,23.076923076923077,71.11153846153846,2.5,9.846153846153847,0.7096153846153848,3.9615384615384617,20.5,0.2065384615384616,14.884615384615385,0.0,91.1923076923077,85.76923076923077,23.307692307692307,46.07692307692308,16.384615384615383,32.07692307692308,10.153846153846153,21.923076923076923,16.76923076923077,13.961538461538462,1.3353846153846154,7.769230769230769,21.192307692307693,36.79692307692308,23.03846153846154,41.69230769230769,55.28423076923077,16.384615384615383,22.96153846153846,71.37153846153845,1.4615384615384615,7.6923076923076925,0.6442307692307694,3.576923076923077,18.653846153846153,0.19115384615384612,13.961538461538462,0.0,93.26923076923077
67,94,2009-05-08,14,2,2008-2009,Lajeado,Brasília,81.84615384615384,23.423076923076923,41.46153846153846,16.96153846153846,29.23076923076923,8.346153846153847,20.884615384615383,13.153846153846153,12.653846153846153,1.0846153846153848,7.8076923076923075,21.46153846153846,36.284615384615385,20.73076923076923,36.30769230769231,56.98076923076923,16.96153846153846,24.0,71.51576923076922,1.1153846153846154,7.153846153846154,0.6126923076923079,2.1538461538461537,20.115384615384617,0.1073076923076923,12.653846153846153,0.0,84.61538461538461,85.92592592592592,24.555555555555557,41.111111111111114,20.25925925925926,29.77777777777778,7.814814814814815,21.962962962962962,14.592592592592593,14.666666666666666,1.1077777777777778,8.185185185185185,24.11111111111111,33.778148148148155,20.555555555555557,37.333333333333336,55.42777777777779,20.25925925925926,26.77777777777778,74.96925925925927,1.8518518518518519,8.555555555555555,0.6211111111111111,3.925925925925926,22.14814814814815,0.1933333333333333,14.666666666666666,0.0,88.88888888888889
