placar_casa,placar_visitante,data,round,stage,ano,equipe_casa,equipe_visitante,Pts_casa,3P_casa,2P_casa,LL_casa,RT_casa,RO_casa,RD_casa,AS_casa,Pts_visitante,3P_visitante,2P_visitante,LL_visitante,RT_visitante,RO_visitante,RD_visitante,AS_visitante
77,56,2009-01-28,1,1,2008-2009,Espírito Santo,Araraquara,77.0,12.0,58.0,7.0,31.0,7.0,24.0,19.0,56.0,6.0,42.0,8.0,25.0,5.0,20.0,9.0
88,75,2009-01-28,1,1,2008-2009,Brasília,Assis,88.0,24.0,50.0,14.0,29.0,13.0,16.0,14.0,75.0,18.0,36.0,21.0,28.0,8.0,20.0,6.0
89,90,2009-01-28,1,1,2008-2009,Pinheiros,Flamengo,89.0,18.0,50.0,21.0,39.0,12.0,27.0,16.0,90.0,36.0,44.0,10.0,26.0,10.0,16.0,13.0
82,76,2009-01-28,1,1,2008-2009,Paulistano,Minas,82.0,21.0,48.0,13.0,37.0,14.0,23.0,22.0,76.0,18.0,42.0,16.0,28.0,8.0,20.0,18.0
73,68,2009-01-28,1,1,2008-2009,Coop/São José Basketball,Lajeado,73.0,21.0,32.0,20.0,35.0,7.0,28.0,12.0,68.0,21.0,32.0,15.0,34.0,9.0,25.0,10.0
93,88,2009-01-28,1,1,2008-2009,Limeira,Joinville,93.0,42.0,36.0,15.0,32.0,7.0,25.0,19.0,88.0,30.0,42.0,16.0,25.0,7.0,18.0,21.0
79,80,2009-01-28,1,1,2008-2009,Saldanha,Sesi Franca,79.0,24.0,44.0,11.0,32.0,8.0,24.0,2.0,80.0,24.0,40.0,16.0,21.0,3.0,18.0,5.0
76,65,2009-01-30,2,1,2008-2009,Brasília,Bauru Basket,82.0,19.5,49.0,13.5,33.5,11.0,22.5,13.5,65.0,15.0,38.0,12.0,29.0,6.0,23.0,5.0
80,81,2009-01-30,2,1,2008-2009,Pinheiros,Minas,84.5,24.0,39.0,21.5,35.0,9.5,25.5,16.0,78.5,19.5,46.0,13.0,30.5,8.5,22.0,20.0
87,96,2009-01-30,2,1,2008-2009,Paulistano,Flamengo,84.5,25.5,42.0,17.0,28.5,10.5,18.0,21.0,93.0,39.0,40.0,14.0,27.5,13.0,14.5,16.0
91,109,2009-01-30,2,1,2008-2009,Coop/São José Basketball,Joinville,82.0,25.5,34.0,22.5,30.0,8.5,21.5,13.5,98.5,37.5,43.0,18.0,27.5,8.5,19.0,21.5
75,72,2009-01-30,2,1,2008-2009,Limeira,Lajeado,84.0,33.0,33.0,18.0,29.5,6.0,23.5,16.0,70.0,15.0,35.0,20.0,36.0,11.5,24.5,12.5
84,72,2009-01-30,2,1,2008-2009,Saldanha,Araraquara,81.5,25.5,38.0,18.0,31.0,6.5,24.5,6.5,64.0,18.0,34.0,12.0,25.5,6.0,19.5,7.0
74,83,2009-01-31,2,1,2008-2009,Espírito Santo,Sesi Franca,75.5,16.5,51.0,8.0,31.5,7.0,24.5,14.5,81.5,19.5,43.0,19.0,29.0,6.5,22.5,11.0
82,65,2009-02-03,3,1,2008-2009,Pinheiros,Paulistano,83.66666666666667,27.0,36.666666666666664,20.0,37.0,10.333333333333334,26.666666666666668,16.0,78.0,23.0,41.333333333333336,13.666666666666666,28.666666666666668,10.333333333333334,18.333333333333332,21.333333333333332
83,73,2009-02-03,3,1,2008-2009,Coop/São José Basketball,Limeira,82.33333333333333,26.0,38.666666666666664,17.666666666666668,27.666666666666668,7.333333333333333,20.333333333333332,14.333333333333334,80.33333333333333,31.0,31.333333333333332,18.0,28.666666666666668,6.333333333333333,22.333333333333332,14.666666666666666
