placar_casa,placar_visitante,data,round,stage,ano,equipe_casa,equipe_visitante,Pts_casa,3P_casa,2P_casa,LL_casa,RT_casa,RO_casa,RD_casa,AS_casa,ER_casa,IA%_casa,3PC_casa,3PT_casa,3P%_casa,2PC_casa,2PT_casa,2P%_casa,LLC_casa,LLT_casa,LL%_casa,EN_casa,BR_casa,B/E_casa,TO_casa,FC_casa,T/FC_casa,ET_casa,VI_casa,EF_casa,Pts_visitante,3P_visitante,2P_visitante,LL_visitante,RT_visitante,RO_visitante,RD_visitante,AS_visitante,ER_visitante,IA%_visitante,3PC_visitante,3PT_visitante,3P%_visitante,2PC_visitante,2PT_visitante,2P%_visitante,LLC_visitante,LLT_visitante,LL%_visitante,EN_visitante,BR_visitante,B/E_visitante,TO_visitante,FC_visitante,T/FC_visitante,ET_visitante,VI_visitante,EF_visitante
77,74,2021-01-26,1,2,2020-2021,Flamengo,Fortaleza B. C. / CFO,87.599,38.7,34.799,14.1,43.8,12.7,31.1,20.2,11.101,1.9009999999999998,12.9,36.9,34.419,17.401,31.599,55.284000000000006,14.1,18.901,75.38699999999999,1.099,6.6,0.593,1.099,16.301,0.06899999999999999,11.101,1.9009999999999998,105.201,77.9,25.05,39.399,13.450999999999999,36.849000000000004,8.451,28.401,13.25,12.251000000000001,1.083,8.350999999999999,25.199,33.022,19.701,39.349000000000004,49.95100000000001,13.450999999999999,18.25,73.449,1.35,8.3,0.6689999999999999,3.249,18.999000000000002,0.17099999999999999,12.251000000000001,2.401,85.999
63,71,2021-01-27,1,2,2020-2021,Caxias do Sul Basquete,Bauru Basket,79.4,25.4,39.867000000000004,14.134,34.3,9.767,24.532999999999998,15.534000000000002,14.466999999999999,1.076,8.467,24.633,34.362,19.933,36.534000000000006,54.56699999999999,14.134,19.732999999999997,71.733,1.3,5.8340000000000005,0.4010000000000001,0.8,23.065999999999995,0.037,14.466999999999999,3.433,83.033,79.235,29.0,36.866,13.367,35.599,8.5,27.102000000000004,16.901,11.534,1.4829999999999999,9.667,29.167,32.851,18.434,34.166,54.547000000000004,13.367,18.199,73.507,1.302,7.633,0.6799999999999999,1.7329999999999999,18.899,0.092,11.534,2.068,89.499
101,99,2021-01-27,1,2,2020-2021,Pinheiros,Sesi Franca,75.232,28.4,35.0,11.832,38.167,11.132000000000001,27.034,17.732999999999997,15.401,1.207,9.467,27.467000000000002,34.44,17.5,38.232,45.332,11.832,17.666,65.88399999999999,0.433,7.866000000000001,0.536,2.3660000000000005,19.367,0.12199999999999997,15.401,2.1670000000000003,81.4,86.65,31.35,40.3,15.0,36.3,7.9,28.4,21.55,13.5,1.6060000000000003,10.45,27.2,38.25200000000001,20.15,37.2,55.085,15.0,18.9,79.901,1.3,6.05,0.449,2.65,20.2,0.131,13.5,1.45,102.0
96,72,2021-01-27,1,2,2020-2021,São Paulo,Mogi,87.501,31.2,40.999,15.299000000000001,37.0,8.800999999999998,28.199,18.1,11.200999999999999,1.718,10.399000000000001,28.151,37.277,20.500999999999998,35.899,56.85699999999999,15.299000000000001,18.299,83.827,2.85,7.899000000000001,0.7350000000000001,2.5509999999999997,16.051,0.16399999999999998,11.200999999999999,2.501,105.7,79.8,27.3,37.0,15.5,40.0,10.2,29.8,19.2,13.8,1.554,9.1,27.5,33.147999999999996,18.5,37.0,50.081999999999994,15.5,20.3,76.709,1.1,6.4,0.49799999999999994,3.1,19.7,0.16299999999999998,13.8,2.4,93.0
68,71,2021-01-28,1,2,2020-2021,Fortaleza B. C. / CFO,Pato Basquete,78.3,24.45,40.299,13.550999999999998,37.399,8.850999999999999,28.551,13.3,12.151,1.097,8.151,25.099,32.337,20.151,39.899,50.394000000000005,13.550999999999998,18.5,72.982,1.25,8.6,0.6990000000000001,3.249,19.249000000000002,0.16899999999999998,12.151,2.101,87.049,77.21799999999999,22.2,40.001000000000005,15.017000000000001,37.681,11.034,26.649999999999995,15.267,14.164999999999997,1.077,7.398999999999999,22.534000000000002,32.608,19.998999999999995,41.898999999999994,47.58,15.017000000000001,21.865999999999996,68.66999999999999,1.1,8.514999999999999,0.6210000000000002,2.4330000000000007,20.732999999999997,0.12600000000000003,14.164999999999997,2.816,83.06799999999998
74,57,2021-01-28,1,2,2020-2021,Cerrado,VipTech CMB,75.86699999999999,23.8,39.333,12.734,38.565,11.368,27.202000000000005,16.0,13.833000000000002,1.1809999999999998,7.933,23.102000000000004,34.499,19.667,39.768,49.362,12.734,19.634000000000004,63.985000000000014,1.433,6.667,0.46799999999999997,2.033,20.602000000000004,0.09799999999999999,13.833000000000002,2.2990000000000004,83.13300000000001,79.102,27.3,41.400999999999996,10.401,39.648999999999994,13.398,26.250999999999998,16.950999999999997,11.55,1.5500000000000003,9.1,28.85,31.493000000000006,20.699,42.449999999999996,48.400999999999996,10.401,17.249000000000002,59.96,1.399,6.85,0.6220000000000001,1.101,19.651,0.05500000000000001,11.55,1.8509999999999998,83.75099999999999
75,99,2021-01-28,1,2,2020-2021,BRB/Brasília,Minas,82.167,33.4,33.599,15.167000000000002,36.898999999999994,11.033,25.867,17.633,15.434000000000001,1.185,11.134,32.666,34.023,16.801,35.001000000000005,48.132000000000005,15.167000000000002,21.199,71.072,0.433,6.5329999999999995,0.43900000000000006,1.499,19.133,0.07899999999999999,15.434000000000001,1.9329999999999998,83.533,89.334,32.3,38.132,18.899,40.333,11.4,28.933,19.766000000000002,13.599,1.499,10.767,26.968,40.097,19.068,36.333999999999996,52.261999999999986,18.899,22.432,83.989,1.133,6.434,0.477,1.999,21.433999999999997,0.09500000000000001,13.599,2.499,107.26700000000001
79,81,2021-01-28,1,2,2020-2021,UNIFACISA,Flamengo,82.43299999999999,28.3,43.465999999999994,10.667,36.199,9.099,27.1,16.666,12.800999999999998,1.332,9.433,25.833,37.16,21.734,40.033,54.194,10.667,14.167000000000002,73.232,1.067,7.433,0.601,1.434,20.5,0.07300000000000001,12.800999999999998,2.3009999999999997,93.167,87.299,38.35,35.099000000000004,13.85,42.8,12.25,30.55,20.617,11.401,1.891,12.783,36.35,34.661,17.551,31.131999999999998,56.52,13.85,18.668,74.90799999999999,1.082,6.367,0.5589999999999999,1.166,16.583999999999996,0.07199999999999998,11.401,1.9839999999999995,104.88399999999999
71,64,2021-01-30,1,2,2020-2021,Paulistano,Caxias do Sul Basquete,75.30099999999999,32.4,33.400999999999996,9.5,40.79899999999999,13.301999999999998,27.500000000000007,16.7,13.798000000000002,1.251,10.799999999999999,33.699,32.171,16.699,35.501000000000005,47.33800000000001,9.5,13.199000000000002,72.616,1.401,6.299,0.4660000000000001,1.7,16.699999999999996,0.10800000000000001,13.798000000000002,2.4989999999999997,81.601,79.46600000000001,25.5,40.334,13.634,34.5,9.634,24.865999999999996,16.234,14.433999999999997,1.129,8.5,24.165999999999997,35.163000000000004,20.165999999999997,36.934000000000005,54.714,13.634,18.9,72.13000000000001,1.234,5.8340000000000005,0.402,0.866,22.266,0.042,14.433999999999997,3.4,84.766
74,64,2021-01-30,1,2,2020-2021,Corinthians,Bauru Basket,79.449,28.05,36.20100000000001,15.200999999999999,37.398999999999994,9.599,27.8,15.449000000000002,12.7,1.238,9.35,27.998999999999995,33.358999999999995,18.099,34.501000000000005,52.66199999999999,15.200999999999999,19.25,78.741,1.151,5.848999999999999,0.4739999999999999,1.9,20.651,0.095,12.7,1.549,88.24900000000001,77.968,28.3,36.333,13.334,35.898999999999994,8.6,27.302000000000003,16.500999999999998,11.467,1.455,9.433,29.234,31.933,18.167,34.132999999999996,53.788,13.334,18.398999999999994,72.46200000000002,1.202,7.366,0.6609999999999999,1.9659999999999997,18.998999999999995,0.10400000000000001,11.467,1.8350000000000002,87.399
