placar_casa,placar_visitante,data,round,stage,ano,equipe_casa,equipe_visitante,Pts_casa,3P_casa,2P_casa,LL_casa,RT_casa,RO_casa,RD_casa,AS_casa,ER_casa,IA%_casa,3PC_casa,3PT_casa,3P%_casa,2PC_casa,2PT_casa,2P%_casa,LLC_casa,LLT_casa,LL%_casa,EN_casa,BR_casa,B/E_casa,TO_casa,FC_casa,T/FC_casa,ET_casa,VI_casa,EF_casa,Pts_visitante,3P_visitante,2P_visitante,LL_visitante,RT_visitante,RO_visitante,RD_visitante,AS_visitante,ER_visitante,IA%_visitante,3PC_visitante,3PT_visitante,3P%_visitante,2PC_visitante,2PT_visitante,2P%_visitante,LLC_visitante,LLT_visitante,LL%_visitante,EN_visitante,BR_visitante,B/E_visitante,TO_visitante,FC_visitante,T/FC_visitante,ET_visitante,VI_visitante,EF_visitante
91,80,2009-04-01,3,2,2008-2009,Flamengo,Coop/São José Basketball,90.0625,28.125,44.625,17.3125,32.6875,9.375,23.3125,17.9375,15.375,1.2181249999999997,9.375,24.5625,38.56250000000001,22.3125,38.25,58.331875,17.3125,22.0625,78.64625000000001,2.0625,7.875,0.5187499999999999,1.9375,20.375,0.094375,15.375,0.0,99.25,82.3125,27.9375,37.875,16.5,30.0625,8.375,21.6875,17.0,13.375,1.3249999999999997,9.3125,26.3125,35.762499999999996,18.9375,36.375,51.86125,16.5,23.0625,71.530625,1.375,7.3125,0.5618749999999999,2.5,21.5625,0.12437500000000001,13.375,0.0,84.8125
94,85,2009-04-01,3,2,2008-2009,Brasília,Araraquara,86.5625,23.625,41.75,21.1875,31.5625,9.25,22.3125,14.1875,13.9375,1.1150000000000002,7.875,23.25,33.364375,20.875,38.875,54.1925,21.1875,28.25,74.25750000000001,1.625,8.5625,0.6399999999999999,4.8125,22.5,0.22937499999999997,13.9375,0.0,91.3125,80.125,24.0,40.75,15.375,32.5,8.5625,23.9375,17.0625,15.125,1.220625,8.0,23.8125,33.701249999999995,20.375,35.8125,56.724999999999994,15.375,22.3125,67.96187499999999,2.125,9.875,0.6887500000000001,4.6875,19.6875,0.24875000000000003,15.125,0.0,90.9375
96,91,2009-04-01,3,2,2008-2009,Minas,Limeira,83.71428571428571,22.5,44.57142857142857,16.642857142857142,32.714285714285715,10.285714285714286,22.428571428571427,14.785714285714286,15.214285714285714,1.030714285714286,7.5,21.0,36.01,22.285714285714285,41.785714285714285,53.105,16.642857142857142,23.357142857142858,71.40357142857142,1.3571428571428572,7.428571428571429,0.5278571428571428,3.5,19.142857142857142,0.18285714285714286,15.214285714285714,0.0,87.21428571428571,85.17647058823529,28.41176470588235,38.94117647058823,17.823529411764707,31.58823529411765,8.058823529411764,23.529411764705884,15.058823529411764,15.647058823529411,1.0929411764705883,9.470588235294118,26.058823529411764,36.612941176470585,19.470588235294116,35.705882352941174,55.08352941176471,17.823529411764707,23.235294117647058,76.8664705882353,1.6470588235294117,7.470588235294118,0.5017647058823529,3.588235294117647,23.0,0.15823529411764706,15.647058823529411,0.0,89.0
87,83,2009-04-01,3,2,2008-2009,Paulistano,Assis,84.4375,25.5,40.5,18.4375,31.75,10.25,21.5,18.75,15.875,1.273125,8.5,23.25,36.722500000000004,20.25,35.9375,56.89125,18.4375,26.4375,69.63875000000002,1.5,8.125,0.544375,3.0,19.1875,0.158125,15.875,0.0,91.75,79.5,22.071428571428573,38.142857142857146,19.285714285714285,31.357142857142858,9.5,21.857142857142858,14.071428571428571,11.714285714285714,1.2992857142857144,7.357142857142857,20.642857142857142,37.04071428571428,19.071428571428573,35.42857142857143,53.521428571428565,19.285714285714285,27.357142857142858,71.42142857142856,1.7142857142857142,7.285714285714286,0.6435714285714285,3.357142857142857,20.857142857142858,0.16785714285714284,11.714285714285714,0.0,86.14285714285714
94,88,2009-04-01,3,2,2008-2009,Pinheiros,Bauru Basket,89.25,27.75,43.25,18.25,34.625,8.5,26.125,16.625,13.25,1.3493749999999998,9.25,22.4375,40.940625000000004,21.625,37.875,57.11875,18.25,23.9375,76.865625,2.4375,6.5,0.5387500000000001,2.1875,19.625,0.11500000000000002,13.25,0.0,100.8125,82.53333333333333,25.2,41.86666666666667,15.466666666666667,30.4,8.733333333333333,21.666666666666668,14.533333333333333,11.2,1.488,8.4,22.866666666666667,36.696,20.933333333333334,38.13333333333333,54.96600000000001,15.466666666666667,20.4,76.26266666666666,1.4,7.733333333333333,0.7326666666666668,3.0,18.066666666666666,0.16933333333333336,11.2,0.0,90.4
78,68,2009-04-01,3,2,2008-2009,Saldanha,Lajeado,82.875,20.8125,45.125,16.9375,32.5,10.3125,22.1875,13.375,16.6875,0.9125,6.9375,20.125,34.081875000000004,22.5625,39.0625,57.874375,16.9375,25.0625,66.83,2.25,9.5625,0.59375,3.0,19.375,0.169375,16.6875,0.0,86.8125,82.2,22.4,42.8,17.0,30.666666666666668,8.6,22.066666666666666,12.8,13.866666666666667,0.9480000000000001,7.466666666666667,21.066666666666666,35.12466666666667,21.4,37.4,56.910000000000004,17.0,23.866666666666667,71.62266666666667,1.0,7.933333333333334,0.6306666666666667,1.7333333333333334,20.333333333333332,0.09133333333333334,13.866666666666667,0.0,85.0
93,80,2009-04-03,4,2,2008-2009,Espírito Santo,Lajeado,78.82352941176471,21.705882352941178,41.411764705882355,15.705882352941176,31.764705882352942,8.588235294117647,23.176470588235293,14.647058823529411,13.0,1.2382352941176473,7.235294117647059,22.11764705882353,33.497058823529414,20.705882352941178,37.35294117647059,55.33058823529411,15.705882352941176,21.823529411764707,71.35235294117648,1.0,7.411764705882353,0.613529411764706,2.4705882352941178,23.41176470588235,0.10882352941176471,13.0,0.0,84.47058823529412,81.9375,23.0625,41.875,17.0,30.1875,8.375,21.8125,12.875,13.75,0.961875,7.6875,21.4375,35.475625,20.9375,36.4375,57.330625000000005,17.0,24.1875,70.81,1.0625,8.125,0.64875,1.75,20.3125,0.09187500000000001,13.75,0.0,84.6875
83,78,2009-04-03,4,2,2008-2009,Minas,Coop/São José Basketball,84.53333333333333,23.6,44.0,16.933333333333334,32.93333333333333,10.4,22.533333333333335,15.4,15.0,1.0953333333333335,7.866666666666666,21.466666666666665,36.70466666666666,22.0,41.86666666666667,52.35533333333333,16.933333333333334,23.933333333333334,71.01866666666666,1.3333333333333333,7.466666666666667,0.5373333333333333,3.3333333333333335,19.0,0.17466666666666666,15.0,0.0,88.2,82.82352941176471,27.88235294117647,37.88235294117647,17.058823529411764,30.58823529411765,8.588235294117647,22.0,16.823529411764707,13.352941176470589,1.3105882352941174,9.294117647058824,26.352941176470587,35.61941176470588,18.941176470588236,36.35294117647059,51.91529411764706,17.058823529411764,24.11764705882353,71.0529411764706,1.3529411764705883,7.470588235294118,0.5741176470588234,2.7058823529411766,21.529411764705884,0.13411764705882354,13.352941176470589,0.0,85.52941176470588
89,71,2009-04-03,4,2,2008-2009,Pinheiros,Assis,89.52941176470588,27.705882352941178,43.1764705882353,18.647058823529413,34.411764705882355,8.823529411764707,25.58823529411765,16.705882352941178,13.058823529411764,1.3758823529411763,9.235294117647058,22.352941176470587,41.053529411764714,21.58823529411765,37.88235294117647,57.00941176470588,18.647058823529413,24.294117647058822,77.24588235294117,2.6470588235294117,6.529411764705882,0.548235294117647,2.2941176470588234,19.529411764705884,0.12117647058823533,13.058823529411764,0.0,101.3529411764706,80.0,21.6,38.93333333333333,19.466666666666665,30.6,9.266666666666667,21.333333333333332,14.4,11.6,1.3393333333333333,7.2,20.133333333333333,37.13533333333333,19.466666666666665,35.8,54.01866666666667,19.466666666666665,27.533333333333335,71.54866666666665,1.7333333333333334,7.466666666666667,0.6673333333333332,3.4,21.266666666666666,0.16666666666666663,11.6,0.0,86.93333333333334
93,92,2009-04-03,4,2,2008-2009,Paulistano,Bauru Basket,84.58823529411765,24.88235294117647,41.05882352941177,18.647058823529413,31.058823529411764,10.0,21.058823529411764,18.764705882352942,15.529411764705882,1.31,8.294117647058824,22.647058823529413,36.824705882352944,20.529411764705884,36.23529411764706,57.131764705882354,18.647058823529413,26.647058823529413,69.8558823529412,1.5294117647058822,8.235294117647058,0.5711764705882354,3.0588235294117645,19.647058823529413,0.1576470588235294,15.529411764705882,0.0,92.11764705882354,83.25,25.3125,41.875,16.0625,30.4375,9.0625,21.375,14.75,11.125,1.5075,8.4375,22.75,37.08125,20.9375,38.125,54.98437500000001,16.0625,21.0,76.70437499999998,1.6875,7.6875,0.7306250000000001,3.0625,18.0625,0.17250000000000004,11.125,0.0,91.625
