placar_casa,placar_visitante,data,round,stage,ano,equipe_casa,equipe_visitante,Pts_casa,3P_casa,2P_casa,LL_casa,RT_casa,RO_casa,RD_casa,AS_casa,ER_casa,IA%_casa,3PC_casa,3PT_casa,3P%_casa,2PC_casa,2PT_casa,2P%_casa,LLC_casa,LLT_casa,LL%_casa,EN_casa,BR_casa,B/E_casa,TO_casa,FC_casa,T/FC_casa,ET_casa,VI_casa,EF_casa,Pts_visitante,3P_visitante,2P_visitante,LL_visitante,RT_visitante,RO_visitante,RD_visitante,AS_visitante,ER_visitante,IA%_visitante,3PC_visitante,3PT_visitante,3P%_visitante,2PC_visitante,2PT_visitante,2P%_visitante,LLC_visitante,LLT_visitante,LL%_visitante,EN_visitante,BR_visitante,B/E_visitante,TO_visitante,FC_visitante,T/FC_visitante,ET_visitante,VI_visitante,EF_visitante
77,56,2009-01-28,1,1,2008-2009,Espírito Santo,Araraquara,77.0,12.0,58.0,7.0,31.0,7.0,24.0,19.0,11.0,1.73,4.0,17.0,23.53,29.0,47.0,61.7,7.0,18.0,38.89,0.0,12.0,1.09,2.0,18.0,0.11,11.0,0.0,88.0,56.0,6.0,42.0,8.0,25.0,5.0,20.0,9.0,19.0,0.47,2.0,23.0,8.7,21.0,44.0,47.73,8.0,15.0,53.33,0.0,13.0,0.68,2.0,21.0,0.1,19.0,0.0,35.0
88,75,2009-01-28,1,1,2008-2009,Brasília,Assis,88.0,24.0,50.0,14.0,29.0,13.0,16.0,14.0,13.0,1.08,8.0,19.0,42.11,25.0,41.0,60.98,14.0,19.0,73.68,3.0,9.0,0.69,4.0,22.0,0.18,13.0,0.0,99.0,75.0,18.0,36.0,21.0,28.0,8.0,20.0,6.0,16.0,0.38,6.0,22.0,27.27,18.0,33.0,54.55,21.0,26.0,80.77,1.0,7.0,0.44,3.0,15.0,0.2,16.0,0.0,67.0
89,90,2009-01-28,1,1,2008-2009,Pinheiros,Flamengo,89.0,18.0,50.0,21.0,39.0,12.0,27.0,16.0,18.0,0.89,6.0,22.0,27.27,25.0,41.0,60.98,21.0,24.0,87.5,2.0,5.0,0.28,3.0,18.0,0.17,18.0,0.0,99.0,90.0,36.0,44.0,10.0,26.0,10.0,16.0,13.0,9.0,1.44,12.0,31.0,38.71,22.0,43.0,51.16,10.0,15.0,66.67,3.0,9.0,1.0,0.0,20.0,0.0,9.0,0.0,84.0
82,76,2009-01-28,1,1,2008-2009,Paulistano,Minas,82.0,21.0,48.0,13.0,37.0,14.0,23.0,22.0,20.0,1.1,7.0,21.0,33.33,24.0,42.0,57.14,13.0,22.0,59.09,2.0,6.0,0.3,4.0,21.0,0.19,20.0,0.0,90.0,76.0,18.0,42.0,16.0,28.0,8.0,20.0,18.0,15.0,1.2,6.0,21.0,28.57,21.0,39.0,53.85,16.0,27.0,59.26,0.0,9.0,0.6,0.0,21.0,0.0,15.0,0.0,72.0
73,68,2009-01-28,1,1,2008-2009,Coop/São José Basketball,Lajeado,73.0,21.0,32.0,20.0,35.0,7.0,28.0,12.0,12.0,1.0,7.0,26.0,26.92,16.0,34.0,47.06,20.0,27.0,74.07,0.0,6.0,0.5,4.0,19.0,0.21,12.0,0.0,74.0,68.0,21.0,32.0,15.0,34.0,9.0,25.0,10.0,25.0,0.4,7.0,32.0,21.88,16.0,37.0,43.24,15.0,19.0,78.95,1.0,11.0,0.44,2.0,23.0,0.09,25.0,0.0,50.0
93,88,2009-01-28,1,1,2008-2009,Limeira,Joinville,93.0,42.0,36.0,15.0,32.0,7.0,25.0,19.0,24.0,0.79,14.0,39.0,35.9,18.0,29.0,62.07,15.0,18.0,83.33,1.0,5.0,0.21,5.0,23.0,0.22,24.0,0.0,91.0,88.0,30.0,42.0,16.0,25.0,7.0,18.0,21.0,15.0,1.4,10.0,26.0,38.46,21.0,43.0,48.84,16.0,23.0,69.57,1.0,9.0,0.6,2.0,26.0,0.08,15.0,0.0,85.0
79,80,2009-01-28,1,1,2008-2009,Saldanha,Sesi Franca,79.0,24.0,44.0,11.0,32.0,8.0,24.0,2.0,17.0,0.12,8.0,22.0,36.36,22.0,37.0,59.46,11.0,15.0,73.33,4.0,6.0,0.35,3.0,17.0,0.18,17.0,0.0,72.0,80.0,24.0,40.0,16.0,21.0,3.0,18.0,5.0,12.0,0.42,8.0,26.0,30.77,20.0,33.0,60.61,16.0,28.0,57.14,2.0,9.0,0.75,4.0,10.0,0.4,12.0,0.0,64.0
76,65,2009-01-30,2,1,2008-2009,Brasília,Bauru Basket,76.0,15.0,48.0,13.0,38.0,9.0,29.0,13.0,15.0,0.87,5.0,21.0,23.81,24.0,41.0,58.54,13.0,21.0,61.9,0.0,7.0,0.47,6.0,18.0,0.33,15.0,0.0,84.0,65.0,15.0,38.0,12.0,29.0,6.0,23.0,5.0,12.0,0.42,5.0,20.0,25.0,19.0,40.0,47.5,12.0,21.0,57.14,1.0,4.0,0.33,2.0,19.0,0.11,12.0,0.0,48.0
80,81,2009-01-30,2,1,2008-2009,Pinheiros,Minas,80.0,30.0,28.0,22.0,31.0,7.0,24.0,16.0,14.0,1.14,10.0,25.0,40.0,14.0,31.0,45.16,22.0,29.0,75.86,4.0,7.0,0.5,2.0,18.0,0.11,14.0,0.0,83.0,81.0,21.0,50.0,10.0,33.0,9.0,24.0,22.0,13.0,1.69,7.0,18.0,38.89,25.0,48.0,52.08,10.0,16.0,62.5,1.0,5.0,0.38,1.0,25.0,0.04,13.0,0.0,89.0
87,96,2009-01-30,2,1,2008-2009,Paulistano,Flamengo,87.0,30.0,36.0,21.0,20.0,7.0,13.0,20.0,18.0,1.11,10.0,21.0,47.62,18.0,29.0,62.07,21.0,27.0,77.78,1.0,7.0,0.39,1.0,23.0,0.04,18.0,0.0,89.0,96.0,42.0,36.0,18.0,29.0,16.0,13.0,19.0,18.0,1.06,14.0,26.0,53.85,18.0,37.0,48.65,18.0,21.0,85.71,2.0,8.0,0.44,3.0,24.0,0.13,18.0,0.0,103.0
91,109,2009-01-30,2,1,2008-2009,Coop/São José Basketball,Joinville,91.0,30.0,36.0,25.0,25.0,10.0,15.0,15.0,12.0,1.25,10.0,33.0,30.3,18.0,33.0,54.55,25.0,33.0,75.76,0.0,7.0,0.58,4.0,26.0,0.15,12.0,0.0,84.0,109.0,45.0,44.0,20.0,30.0,10.0,20.0,22.0,19.0,1.16,15.0,29.0,51.72,22.0,34.0,64.71,20.0,25.0,80.0,0.0,3.0,0.16,3.0,26.0,0.12,19.0,0.0,117.0
75,72,2009-01-30,2,1,2008-2009,Limeira,Lajeado,75.0,24.0,30.0,21.0,27.0,5.0,22.0,13.0,19.0,0.68,8.0,25.0,32.0,15.0,28.0,53.57,21.0,24.0,87.5,1.0,4.0,0.21,4.0,22.0,0.18,19.0,0.0,71.0,72.0,9.0,38.0,25.0,38.0,14.0,24.0,15.0,17.0,0.88,3.0,21.0,14.29,19.0,42.0,45.24,25.0,37.0,67.57,0.0,6.0,0.35,1.0,25.0,0.04,17.0,0.0,62.0
84,72,2009-01-30,2,1,2008-2009,Saldanha,Araraquara,84.0,27.0,32.0,25.0,30.0,5.0,25.0,11.0,19.0,0.58,9.0,21.0,42.86,16.0,29.0,55.17,25.0,36.0,69.44,5.0,12.0,0.63,5.0,22.0,0.23,19.0,0.0,87.0,72.0,30.0,26.0,16.0,26.0,7.0,19.0,5.0,19.0,0.26,10.0,29.0,34.48,13.0,27.0,48.15,16.0,28.0,57.14,1.0,10.0,0.53,3.0,26.0,0.12,19.0,0.0,52.0
74,83,2009-01-31,2,1,2008-2009,Espírito Santo,Sesi Franca,74.0,21.0,44.0,9.0,32.0,7.0,25.0,10.0,10.0,1.0,7.0,26.0,26.92,22.0,42.0,52.38,9.0,15.0,60.0,1.0,7.0,0.7,2.0,26.0,0.08,10.0,0.0,70.0,83.0,15.0,46.0,22.0,37.0,10.0,27.0,17.0,12.0,1.42,5.0,17.0,29.41,23.0,41.0,56.1,22.0,28.0,78.57,0.0,7.0,0.58,0.0,12.0,0.0,12.0,0.0,96.0
82,65,2009-02-03,3,1,2008-2009,Pinheiros,Paulistano,82.0,33.0,32.0,17.0,41.0,12.0,29.0,16.0,13.0,1.23,11.0,24.0,45.83,16.0,37.0,43.24,17.0,24.0,70.83,3.0,5.0,0.38,2.0,15.0,0.13,13.0,0.0,92.0,65.0,18.0,40.0,7.0,29.0,10.0,19.0,22.0,9.0,2.44,6.0,30.0,20.0,20.0,39.0,51.28,7.0,13.0,53.85,1.0,5.0,0.56,7.0,23.0,0.3,9.0,0.0,70.0
83,73,2009-02-03,3,1,2008-2009,Coop/São José Basketball,Limeira,83.0,27.0,48.0,8.0,23.0,5.0,18.0,16.0,18.0,0.89,9.0,26.0,34.62,24.0,37.0,64.86,8.0,11.0,72.73,0.0,10.0,0.56,1.0,26.0,0.04,18.0,0.0,82.0,73.0,27.0,28.0,18.0,27.0,7.0,20.0,12.0,34.0,0.35,9.0,21.0,42.86,14.0,30.0,46.67,18.0,22.0,81.82,3.0,7.0,0.21,0.0,19.0,0.0,34.0,0.0,53.0
63,74,2009-02-03,3,1,2008-2009,Saldanha,Espírito Santo,63.0,15.0,36.0,12.0,32.0,17.0,15.0,5.0,21.0,0.24,5.0,22.0,22.73,18.0,36.0,50.0,12.0,16.0,75.0,2.0,10.0,0.48,0.0,20.0,0.0,21.0,0.0,50.0,74.0,18.0,38.0,18.0,22.0,8.0,14.0,5.0,17.0,0.29,6.0,19.0,31.58,19.0,29.0,65.52,18.0,20.0,90.0,0.0,14.0,0.82,0.0,20.0,0.0,17.0,0.0,73.0
82,87,2009-02-03,3,1,2008-2009,Araraquara,Sesi Franca,82.0,33.0,42.0,7.0,35.0,8.0,27.0,17.0,10.0,1.7,11.0,39.0,28.21,21.0,34.0,61.76,7.0,12.0,58.33,1.0,4.0,0.4,6.0,20.0,0.3,10.0,0.0,88.0,87.0,21.0,50.0,16.0,33.0,5.0,28.0,19.0,12.0,1.58,7.0,25.0,28.0,25.0,51.0,49.02,16.0,22.0,72.73,0.0,8.0,0.67,1.0,16.0,0.06,12.0,0.0,86.0
