,Importance
placar_casa,1012.6391062736511
placar_visitante,857.9834830760956
EF_casa,620.4875867441297
RT_casa,375.0539640933275
AS_visitante,260.71913177520037
B/E_visitante,222.96864579617977
2P%_casa,206.4072437658906
Pts_casa,187.25625306367874
2P_casa,180.91452868282795
LL%_visitante,175.79629410803318
EF_visitante,168.4063946530223
2PT_visitante,164.02135494351387
RD_visitante,140.73677669465542
EN_casa,138.19033394753933
3P%_casa,136.4433611035347
Pts_visitante,134.0019601136446
ER_casa,127.23429502546787
BR_visitante,120.95859163627028
AS_casa,120.2235203012824
IA%_casa,115.74941477179527
FC_casa,114.02329343557358
3PT_visitante,109.86217790469527
2PT_casa,98.88708953559399
TO_visitante,91.5197973176837
VI_visitante,87.38279725797474
LL_visitante,85.52145653218031
3PT_casa,85.50792214274406
ER_visitante,82.76597932726145
RT_visitante,81.13774600625038
LLT_casa,80.12546721845865
round,79.55642552673817
2P_visitante,78.96447276324034
T/FC_casa,77.82217901200056
3P_visitante,77.50492791086435
RO_visitante,76.1197368055582
3P%_visitante,75.96089008450508
B/E_casa,73.00338543206453
EN_visitante,67.60889999568462
2P%_visitante,66.05637541413307
RD_casa,64.53762303292751
3PC_visitante,63.10843973234296
TO_casa,61.89604610204697
LLT_visitante,61.393388986587524
IA%_visitante,60.08330241590738
3P_casa,58.592555118724704
VI_casa,56.6852960139513
RO_casa,54.98322272673249
BR_casa,53.743163868784904
FC_visitante,49.38293304294348
LL%_casa,44.41900248080492
LL_casa,34.8694663643837
T/FC_visitante,33.30331163108349
3PC_casa,21.7656419724226
2PC_visitante,6.485818848013878
2PC_casa,2.1489987671375275
