Temporada,Porcentagem de Treino,Acurácia
2008-2009,0.2,0.6789473684210526
2009-2010,0.2,0.6307692307692307
2011-2012,0.2,0.7730496453900709
2012-2013,0.2,0.7178571428571429
2013-2014,0.2,0.7351778656126482
2014-2015,0.2,0.6885964912280702
2015-2016,0.2,0.6862745098039216
2016-2017,0.2,0.6394230769230769
2018-2019,0.2,0.6857142857142857
2019-2020,0.2,0.6686746987951807
2020-2021,0.2,0.7323943661971831
2021-2022,0.2,0.6434426229508197
2022-2023,0.2,0.748
2023-2024,0.2,0.6666666666666666
Média/Desvio Padrão,0.2,"Média: 0.69, Desvio Padrão: 0.04"
2008-2009,0.4,0.8251748251748252
2009-2010,0.4,0.6530612244897959
2011-2012,0.4,0.7452830188679245
2012-2013,0.4,0.8857142857142857
2013-2014,0.4,0.7526315789473684
2014-2015,0.4,0.7309941520467836
2015-2016,0.4,0.5555555555555556
2016-2017,0.4,0.75
2018-2019,0.4,0.6717557251908397
2019-2020,0.4,0.744
2020-2021,0.4,0.80625
2021-2022,0.4,0.726775956284153
2022-2023,0.4,0.7659574468085106
2023-2024,0.4,0.9224137931034483
Média/Desvio Padrão,0.4,"Média: 0.75, Desvio Padrão: 0.09"
2008-2009,0.5,0.8151260504201681
2009-2010,0.5,0.5925925925925926
2011-2012,0.5,0.6931818181818182
2012-2013,0.5,0.7428571428571429
2013-2014,0.5,0.8734177215189873
2014-2015,0.5,0.8321678321678322
2015-2016,0.5,0.7265625
2016-2017,0.5,0.8076923076923077
2018-2019,0.5,0.7981651376146789
2019-2020,0.5,0.7307692307692307
2020-2021,0.5,0.849624060150376
2021-2022,0.5,0.8881578947368421
2022-2023,0.5,0.8717948717948718
2023-2024,0.5,0.9015544041450777
Média/Desvio Padrão,0.5,"Média: 0.79, Desvio Padrão: 0.08"
2008-2009,0.6,0.8315789473684211
2009-2010,0.6,0.7076923076923077
2011-2012,0.6,0.7464788732394366
2012-2013,0.6,0.7071428571428572
2013-2014,0.6,0.84251968503937
2014-2015,0.6,0.8947368421052632
2015-2016,0.6,0.8137254901960784
2016-2017,0.6,0.7980769230769231
2018-2019,0.6,0.7613636363636364
2019-2020,0.6,0.8072289156626506
2020-2021,0.6,0.9345794392523364
2021-2022,0.6,0.8278688524590164
2022-2023,0.6,0.88
2023-2024,0.6,0.8774193548387097
Média/Desvio Padrão,0.6,"Média: 0.82, Desvio Padrão: 0.07"
2008-2009,0.8,0.8125
2009-2010,0.8,0.6666666666666666
2011-2012,0.8,0.7222222222222222
2012-2013,0.8,0.9142857142857143
2013-2014,0.8,0.921875
2014-2015,0.8,0.8947368421052632
2015-2016,0.8,0.5882352941176471
2016-2017,0.8,0.9038461538461539
2018-2019,0.8,0.7272727272727273
2019-2020,0.8,0.8571428571428571
2020-2021,0.8,0.8703703703703703
2021-2022,0.8,0.9344262295081968
2022-2023,0.8,0.9523809523809523
2023-2024,0.8,0.9358974358974359
Média/Desvio Padrão,0.8,"Média: 0.84, Desvio Padrão: 0.11"
2008-2009,0.9,0.8333333333333334
2009-2010,0.9,0.7058823529411765
2011-2012,0.9,0.5555555555555556
2012-2013,0.9,0.9142857142857143
2013-2014,0.9,0.9375
2014-2015,0.9,0.7931034482758621
2015-2016,0.9,0.7307692307692307
2016-2017,0.9,0.9615384615384616
2018-2019,0.9,0.7727272727272727
2019-2020,0.9,0.9047619047619048
2020-2021,0.9,0.8888888888888888
2021-2022,0.9,0.8387096774193549
2022-2023,0.9,0.84375
2023-2024,0.9,0.9487179487179487
Média/Desvio Padrão,0.9,"Média: 0.83, Desvio Padrão: 0.11"
