Temporada,Janela Flutuante,Acurácia média de todas,Acurácia
2008-2009,8-1,0.7205240174672489,
2009-2010,8-1,0.6493506493506493,
2011-2012,8-1,0.6785714285714286,
2012-2013,8-1,0.6257309941520468,
2013-2014,8-1,0.5746753246753247,
2014-2015,8-1,0.6209386281588448,
2015-2016,8-1,0.5910931174089069,
2016-2017,8-1,0.6071428571428571,
2018-2019,8-1,0.6,
2019-2020,8-1,0.542713567839196,
2020-2021,8-1,0.6666666666666666,
2021-2022,8-1,0.6418918918918919,
2022-2023,8-1,0.6282894736842105,
2023-2024,8-1,0.6455026455026455,
Média/Desvio Padrão,8-1,,"Média: 0.65, Desvio Padrão: 0.00"
2008-2009,16-1,0.7420814479638009,
2009-2010,16-1,0.6506849315068494,
2011-2012,16-1,0.7125,
2012-2013,16-1,0.655688622754491,
2013-2014,16-1,0.6366666666666667,
2014-2015,16-1,0.654275092936803,
2015-2016,16-1,0.6443514644351465,
2016-2017,16-1,0.569672131147541,
2018-2019,16-1,0.6485148514851485,
2019-2020,16-1,0.6335078534031413,
2020-2021,16-1,0.66,
2021-2022,16-1,0.6875,
2022-2023,16-1,0.6351351351351351,
2023-2024,16-1,0.6648648648648648,
Média/Desvio Padrão,16-1,,"Média: 0.66, Desvio Padrão: 0.00"
