Janela Flutuante,Temporada,Acurácia,Desvio Padrão Acurácia,F1-Score,Desvio Padrão F1-Score
32-1,2008-2009,0.75,-,0.75,-
32-1,2009-2010,0.70,-,0.70,-
32-1,2011-2012,0.76,-,0.76,-
32-1,2012-2013,0.68,-,0.68,-
32-1,2013-2014,0.66,-,0.66,-
32-1,2014-2015,0.70,-,0.70,-
32-1,2015-2016,0.65,-,0.65,-
32-1,2016-2017,0.55,-,0.55,-
32-1,2018-2019,0.67,-,0.67,-
32-1,2019-2020,0.62,-,0.62,-
32-1,2020-2021,0.71,-,0.71,-
32-1,2021-2022,0.71,-,0.71,-
32-1,2022-2023,0.65,-,0.65,-
32-1,2023-2024,0.69,-,0.69,-
32-1,-,0.68,0.05,0.68,0.05
32-2,2008-2009,0.74,-,0.73,-
32-2,2009-2010,0.70,-,0.68,-
32-2,2011-2012,0.75,-,0.74,-
32-2,2012-2013,0.67,-,0.66,-
32-2,2013-2014,0.65,-,0.63,-
32-2,2014-2015,0.67,-,0.67,-
32-2,2015-2016,0.65,-,0.62,-
32-2,2016-2017,0.58,-,0.56,-
32-2,2018-2019,0.68,-,0.65,-
32-2,2019-2020,0.61,-,0.59,-
32-2,2020-2021,0.68,-,0.68,-
32-2,2021-2022,0.72,-,0.70,-
32-2,2022-2023,0.63,-,0.62,-
32-2,2023-2024,0.68,-,0.67,-
32-2,-,0.67,0.05,0.66,0.05
32-3,2008-2009,0.74,-,0.73,-
32-3,2009-2010,0.70,-,0.67,-
32-3,2011-2012,0.75,-,0.73,-
32-3,2012-2013,0.67,-,0.66,-
32-3,2013-2014,0.66,-,0.64,-
32-3,2014-2015,0.66,-,0.65,-
32-3,2015-2016,0.65,-,0.62,-
32-3,2016-2017,0.58,-,0.56,-
32-3,2018-2019,0.67,-,0.64,-
32-3,2019-2020,0.62,-,0.61,-
32-3,2020-2021,0.69,-,0.68,-
32-3,2021-2022,0.73,-,0.70,-
32-3,2022-2023,0.64,-,0.61,-
32-3,2023-2024,0.68,-,0.67,-
32-3,-,0.67,0.04,0.65,0.05
32-4,2008-2009,0.74,-,0.73,-
32-4,2009-2010,0.70,-,0.67,-
32-4,2011-2012,0.74,-,0.72,-
32-4,2012-2013,0.67,-,0.65,-
32-4,2013-2014,0.66,-,0.63,-
32-4,2014-2015,0.67,-,0.65,-
32-4,2015-2016,0.65,-,0.62,-
32-4,2016-2017,0.58,-,0.56,-
32-4,2018-2019,0.68,-,0.64,-
32-4,2019-2020,0.62,-,0.61,-
32-4,2020-2021,0.69,-,0.68,-
32-4,2021-2022,0.72,-,0.69,-
32-4,2022-2023,0.64,-,0.61,-
32-4,2023-2024,0.67,-,0.66,-
32-4,-,0.67,0.04,0.65,0.04
32-6,2008-2009,0.74,-,0.74,-
32-6,2009-2010,0.71,-,0.68,-
32-6,2011-2012,0.73,-,0.70,-
32-6,2012-2013,0.67,-,0.65,-
32-6,2013-2014,0.66,-,0.64,-
32-6,2014-2015,0.67,-,0.64,-
32-6,2015-2016,0.66,-,0.63,-
32-6,2016-2017,0.59,-,0.56,-
32-6,2018-2019,0.68,-,0.64,-
32-6,2019-2020,0.62,-,0.60,-
32-6,2020-2021,0.69,-,0.68,-
32-6,2021-2022,0.71,-,0.69,-
32-6,2022-2023,0.64,-,0.61,-
32-6,2023-2024,0.67,-,0.66,-
32-6,-,0.67,0.04,0.65,0.04
32-8,2008-2009,0.74,-,0.73,-
32-8,2009-2010,0.70,-,0.67,-
32-8,2011-2012,0.72,-,0.69,-
32-8,2012-2013,0.68,-,0.66,-
32-8,2013-2014,0.67,-,0.65,-
32-8,2014-2015,0.67,-,0.64,-
32-8,2015-2016,0.67,-,0.64,-
32-8,2016-2017,0.59,-,0.56,-
32-8,2018-2019,0.68,-,0.64,-
32-8,2019-2020,0.62,-,0.60,-
32-8,2020-2021,0.69,-,0.67,-
32-8,2021-2022,0.71,-,0.68,-
32-8,2022-2023,0.64,-,0.60,-
32-8,2023-2024,0.66,-,0.66,-
32-8,-,0.67,0.04,0.65,0.04
32-16,2008-2009,0.74,-,0.72,-
32-16,2009-2010,0.69,-,0.67,-
32-16,2011-2012,0.72,-,0.69,-
32-16,2012-2013,0.68,-,0.66,-
32-16,2013-2014,0.68,-,0.66,-
32-16,2014-2015,0.67,-,0.64,-
32-16,2015-2016,0.67,-,0.65,-
32-16,2016-2017,0.59,-,0.56,-
32-16,2018-2019,0.67,-,0.63,-
32-16,2019-2020,0.64,-,0.62,-
32-16,2020-2021,0.68,-,0.66,-
32-16,2021-2022,0.70,-,0.68,-
32-16,2022-2023,0.64,-,0.60,-
32-16,2023-2024,0.66,-,0.65,-
32-16,-,0.67,0.03,0.65,0.04
