Temporada,Janela Flutuante,Acurácia média de todas,Acurácia
2008-2009,16-1,0.7420814479638009,
2009-2010,16-1,0.636986301369863,
2011-2012,16-1,0.70625,
2012-2013,16-1,0.6347305389221557,
2013-2014,16-1,0.6266666666666667,
2014-2015,16-1,0.6431226765799256,
2015-2016,16-1,0.6652719665271967,
2016-2017,16-1,0.5532786885245902,
2018-2019,16-1,0.6138613861386139,
2019-2020,16-1,0.6020942408376964,
2020-2021,16-1,0.66,
2021-2022,16-1,0.6736111111111112,
2022-2023,16-1,0.6216216216216216,
2023-2024,16-1,0.6432432432432432,
Média/Desvio Padrão,16-1,,"Média: 0.64, Desvio Padrão: 0.00"
