Temporada,Porcentagem de Treino,Acurácia
2008-2009,0.2,0.6947368421052632
2009-2010,0.2,0.6846153846153846
2011-2012,0.2,0.7092198581560284
2012-2013,0.2,0.7678571428571429
2013-2014,0.2,0.7786561264822134
2014-2015,0.2,0.7543859649122807
2015-2016,0.2,0.7107843137254902
2016-2017,0.2,0.7644230769230769
2018-2019,0.2,0.6571428571428571
2019-2020,0.2,0.6385542168674698
2020-2021,0.2,0.755868544600939
2021-2022,0.2,0.6065573770491803
2022-2023,0.2,0.728
2023-2024,0.2,0.7605177993527508
Média/Desvio Padrão,0.2,"Média: 0.72, Desvio Padrão: 0.05"
2008-2009,0.4,0.8531468531468531
2009-2010,0.4,0.6530612244897959
2011-2012,0.4,0.7358490566037735
2012-2013,0.4,0.861904761904762
2013-2014,0.4,0.8157894736842105
2014-2015,0.4,0.8128654970760234
2015-2016,0.4,0.5424836601307189
2016-2017,0.4,0.7884615384615384
2018-2019,0.4,0.7099236641221374
2019-2020,0.4,0.784
2020-2021,0.4,0.775
2021-2022,0.4,0.7704918032786885
2022-2023,0.4,0.7819148936170213
2023-2024,0.4,0.8879310344827587
Média/Desvio Padrão,0.4,"Média: 0.77, Desvio Padrão: 0.09"
2008-2009,0.5,0.7563025210084033
2009-2010,0.5,0.7037037037037037
2011-2012,0.5,0.8181818181818182
2012-2013,0.5,0.8857142857142857
2013-2014,0.5,0.8164556962025317
2014-2015,0.5,0.8811188811188811
2015-2016,0.5,0.71875
2016-2017,0.5,0.9
2018-2019,0.5,0.7798165137614679
2019-2020,0.5,0.8269230769230769
2020-2021,0.5,0.8947368421052632
2021-2022,0.5,0.8881578947368421
2022-2023,0.5,0.9102564102564102
2023-2024,0.5,0.8652849740932642
Média/Desvio Padrão,0.5,"Média: 0.83, Desvio Padrão: 0.07"
2008-2009,0.6,0.8210526315789474
2009-2010,0.6,0.6923076923076923
2011-2012,0.6,0.7464788732394366
2012-2013,0.6,0.8285714285714286
2013-2014,0.6,0.8818897637795275
2014-2015,0.6,0.9122807017543859
2015-2016,0.6,0.9215686274509803
2016-2017,0.6,0.7403846153846154
2018-2019,0.6,0.8522727272727273
2019-2020,0.6,0.7228915662650602
2020-2021,0.6,0.794392523364486
2021-2022,0.6,0.7131147540983607
2022-2023,0.6,0.816
2023-2024,0.6,0.9290322580645162
Média/Desvio Padrão,0.6,"Média: 0.81, Desvio Padrão: 0.08"
2008-2009,0.8,0.8333333333333334
2009-2010,0.8,0.7878787878787878
2011-2012,0.8,0.9722222222222222
2012-2013,0.8,0.9571428571428572
2013-2014,0.8,0.96875
2014-2015,0.8,0.9298245614035088
2015-2016,0.8,0.6470588235294118
2016-2017,0.8,0.6923076923076923
2018-2019,0.8,0.8636363636363636
2019-2020,0.8,0.8095238095238095
2020-2021,0.8,0.8518518518518519
2021-2022,0.8,0.9508196721311475
2022-2023,0.8,0.873015873015873
2023-2024,0.8,0.9230769230769231
Média/Desvio Padrão,0.8,"Média: 0.86, Desvio Padrão: 0.10"
2008-2009,0.9,0.7916666666666666
2009-2010,0.9,0.8235294117647058
2011-2012,0.9,0.7777777777777778
2012-2013,0.9,0.9142857142857143
2013-2014,0.9,0.96875
2014-2015,0.9,0.896551724137931
2015-2016,0.9,0.8846153846153846
2016-2017,0.9,0.9615384615384616
2018-2019,0.9,0.9090909090909091
2019-2020,0.9,0.9523809523809523
2020-2021,0.9,0.9259259259259259
2021-2022,0.9,0.967741935483871
2022-2023,0.9,0.875
2023-2024,0.9,0.9743589743589743
Média/Desvio Padrão,0.9,"Média: 0.90, Desvio Padrão: 0.06"
